,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.8595,0.1782477341389728,0.8676470588235294,0.2957393483709273,0.9373629886737304
random_forest,0.9915,0.9047619047619048,0.8382352941176471,0.8702290076335878,0.9788888381439533
xgboost,0.9895,0.8507462686567164,0.8382352941176471,0.8444444444444444,0.9843350383631714
